terminationTime,TastId,Runtime,startTime,MEM,CPU,class_name,slo_value,availability,scenario
3600,244,101,154.0,375,375,bronze,50.0,2.93093441671503,simulation
3600,233,63,156.0,375,375,bronze,50.0,1.82926829268292,simulation
3600,181,71,162.0,375,375,bronze,50.0,2.06515415939499,simulation
3600,186,72,163.0,375,375,bronze,50.0,2.0948501600232703,simulation
3600,250,49,167.0,375,375,bronze,50.0,1.42732304107194,simulation
3600,239,85,168.0,375,375,bronze,50.0,2.4766899766899697,simulation
3600,172,52,171.0,375,375,bronze,50.0,1.5164771070282799,simulation
3600,173,35,174.0,375,375,bronze,50.0,1.02159953298307,simulation
3600,180,29,175.0,375,375,bronze,50.0,0.84671532846715,simulation
3600,240,59,179.0,375,375,bronze,50.0,1.72464191756796,simulation
3600,196,47,180.0,375,375,bronze,50.0,1.3742690058479499,simulation
3600,176,44,185.0,375,375,bronze,50.0,1.28843338213762,simulation
3600,183,53,190.0,375,375,bronze,50.0,1.5542521994134801,simulation
3600,246,45,191.0,375,375,bronze,50.0,1.32003520093869,simulation
3600,215,30,195.0,375,375,bronze,50.0,0.8810572687224599,simulation
3600,256,4,199.0,375,375,bronze,50.0,0.11761246692149001,simulation
3600,220,0,202.0,375,375,bronze,50.0,0.0,simulation
3600,195,0,207.0,375,375,bronze,50.0,0.0,simulation
3600,254,0,210.0,375,375,bronze,50.0,0.0,simulation
3600,219,0,212.0,375,375,bronze,50.0,0.0,simulation
3600,164,0,213.0,375,375,bronze,50.0,0.0,simulation
3600,224,0,215.0,375,375,bronze,50.0,0.0,simulation
3600,253,0,217.0,375,375,bronze,50.0,0.0,simulation
3600,207,0,218.0,375,375,bronze,50.0,0.0,simulation
3600,182,0,220.0,375,375,bronze,50.0,0.0,simulation
3600,191,0,221.0,375,375,bronze,50.0,0.0,simulation
3600,217,0,222.0,375,375,bronze,50.0,0.0,simulation
3600,247,0,224.0,375,375,bronze,50.0,0.0,simulation
3600,206,0,228.0,375,375,bronze,50.0,0.0,simulation
3600,255,0,231.0,375,375,bronze,50.0,0.0,simulation
3600,227,0,240.0,375,375,bronze,50.0,0.0,simulation
3600,216,0,241.0,375,375,bronze,50.0,0.0,simulation
3600,185,0,242.0,375,375,bronze,50.0,0.0,simulation
3600,222,0,244.0,375,375,bronze,50.0,0.0,simulation
3600,171,0,245.0,375,375,bronze,50.0,0.0,simulation
3600,223,0,246.0,375,375,bronze,50.0,0.0,simulation
3600,205,0,248.0,375,375,bronze,50.0,0.0,simulation
3600,234,0,249.0,375,375,bronze,50.0,0.0,simulation
3600,229,0,252.0,375,375,bronze,50.0,0.0,simulation
3600,251,3599,1.0,375,375,bronze,50.0,100.0,simulation
