name,timestamp,value,__name__,container,instance,job,namespace,node,pod,resource,uid,unit
kube_pod_container_resource_requests,1737396859,104857600.0,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-1,memory,c3998059-30c1-4bdf-8c7a-ddf93846ca4b,byte
kube_pod_container_resource_requests,1737396864,104857600.0,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-1,memory,c3998059-30c1-4bdf-8c7a-ddf93846ca4b,byte
kube_pod_container_resource_requests,1737396869,104857600.0,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-1,memory,c3998059-30c1-4bdf-8c7a-ddf93846ca4b,byte
kube_pod_container_resource_requests,1737396874,104857600.0,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-1,memory,c3998059-30c1-4bdf-8c7a-ddf93846ca4b,byte
kube_pod_container_resource_requests,1737396879,104857600.0,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-1,memory,c3998059-30c1-4bdf-8c7a-ddf93846ca4b,byte
kube_pod_container_resource_requests,1737396884,104857600.0,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-1,memory,c3998059-30c1-4bdf-8c7a-ddf93846ca4b,byte
kube_pod_container_resource_requests,1737396889,104857600.0,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-1,memory,c3998059-30c1-4bdf-8c7a-ddf93846ca4b,byte
kube_pod_container_resource_requests,1737396894,104857600.0,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-1,memory,c3998059-30c1-4bdf-8c7a-ddf93846ca4b,byte
kube_pod_container_resource_requests,1737396899,104857600.0,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-1,memory,c3998059-30c1-4bdf-8c7a-ddf93846ca4b,byte
kube_pod_container_resource_requests,1737396904,104857600.0,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-1,memory,c3998059-30c1-4bdf-8c7a-ddf93846ca4b,byte
kube_pod_container_resource_requests,1737396909,104857600.0,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-1,memory,c3998059-30c1-4bdf-8c7a-ddf93846ca4b,byte
kube_pod_container_resource_requests,1737396914,104857600.0,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-1,memory,c3998059-30c1-4bdf-8c7a-ddf93846ca4b,byte
kube_pod_container_resource_requests,1737396919,104857600.0,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-1,memory,c3998059-30c1-4bdf-8c7a-ddf93846ca4b,byte
kube_pod_container_resource_requests,1737396924,104857600.0,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-1,memory,c3998059-30c1-4bdf-8c7a-ddf93846ca4b,byte
kube_pod_container_resource_requests,1737396929,104857600.0,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-1,memory,c3998059-30c1-4bdf-8c7a-ddf93846ca4b,byte
kube_pod_container_resource_requests,1737396934,104857600.0,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-1,memory,c3998059-30c1-4bdf-8c7a-ddf93846ca4b,byte
kube_pod_container_resource_requests,1737396939,104857600.0,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-1,memory,c3998059-30c1-4bdf-8c7a-ddf93846ca4b,byte
kube_pod_container_resource_requests,1737396944,104857600.0,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-1,memory,c3998059-30c1-4bdf-8c7a-ddf93846ca4b,byte
kube_pod_container_resource_requests,1737396949,104857600.0,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-1,memory,c3998059-30c1-4bdf-8c7a-ddf93846ca4b,byte
kube_pod_container_resource_requests,1737396954,104857600.0,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-1,memory,c3998059-30c1-4bdf-8c7a-ddf93846ca4b,byte
kube_pod_container_resource_requests,1737396959,104857600.0,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-1,memory,c3998059-30c1-4bdf-8c7a-ddf93846ca4b,byte
kube_pod_container_resource_requests,1737396964,104857600.0,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-1,memory,c3998059-30c1-4bdf-8c7a-ddf93846ca4b,byte
kube_pod_container_resource_requests,1737396969,104857600.0,kube_pod_container_resource_requests,alertmanager,10.244.0.116:8443,kube-state-metrics,monitoring,minikube,alertmanager-main-1,memory,c3998059-30c1-4bdf-8c7a-ddf93846ca4b,byte
