class_name,slo_value,availability,scenario
gold,100.0,99.94192799070848,experiment
gold,100.0,99.9426769848094,experiment
bronze,50.0,0.6126021003500584,experiment
silver,90.0,99.9138920780712,experiment
bronze,50.0,99.94285714285716,experiment
bronze,50.0,0.9145470134324092,experiment
silver,90.0,99.94234649754972,experiment
gold,100.0,99.91334488734836,experiment
silver,90.0,99.94287346472436,experiment
gold,100.0,99.94140052739525,experiment
gold,100.0,99.94242947610825,experiment
silver,90.0,99.94145199063232,experiment
gold,100.0,99.9141876430206,experiment
gold,100.0,99.94272623138602,experiment
silver,90.0,99.94197853205686,experiment
silver,90.0,99.94196169471851,experiment
gold,100.0,99.9418773612322,experiment
bronze,50.0,1.118119266055046,experiment
bronze,50.0,1.1347105033459413,experiment
gold,100.0,99.94227994227994,experiment
gold,100.0,99.94277539341915,experiment
bronze,50.0,1.235657546337158,experiment
silver,90.0,99.94231323911164,experiment
bronze,50.0,0.7221259387637204,experiment
bronze,50.0,0.8731082654249126,experiment
bronze,50.0,1.0755813953488371,experiment
silver,90.0,99.94212962962963,experiment
silver,90.0,99.94145199063232,experiment
bronze,50.0,1.0407632263660018,experiment
bronze,50.0,1.3215859030837005,experiment
gold,100.0,99.94224660698816,experiment
silver,90.0,99.94251221615409,experiment
bronze,50.0,1.0480349344978166,experiment
gold,100.0,99.94229659549912,experiment
bronze,50.0,99.94241289951051,experiment
silver,90.0,99.94121105232216,experiment
silver,90.0,99.94224660698816,experiment
bronze,50.0,1.177484204480184,experiment
gold,100.0,99.91326973113615,experiment
silver,90.0,99.91284137129576,experiment
silver,90.0,99.94197853205686,experiment
bronze,50.0,1.106259097525473,experiment
gold,100.0,99.91202346041057,experiment
bronze,50.0,1.2891883973044242,experiment
gold,100.0,99.91321955452705,experiment
bronze,50.0,1.1500862564692351,experiment
bronze,50.0,0.959581273626054,experiment
gold,100.0,99.94158878504672,experiment
bronze,50.0,1.1500862564692351,experiment
gold,100.0,99.9418435591742,experiment
gold,100.0,99.9416569428238,experiment
silver,90.0,99.9415033635566,experiment
gold,100.0,99.94227994227994,experiment
bronze,50.0,1.3990090352666862,experiment
gold,100.0,99.941792782305,experiment
gold,100.0,99.94246260069043,experiment
bronze,50.0,1.4413375612568464,experiment
bronze,50.0,1.5235862877234103,experiment
silver,90.0,99.94174191669094,experiment
silver,90.0,99.94158878504672,experiment
gold,100.0,99.94177583697234,experiment
bronze,50.0,1.3469985358711567,experiment
gold,100.0,99.94162288382954,experiment
bronze,50.0,98.898231371412,experiment
silver,90.0,99.94172494172494,experiment
silver,90.0,99.8843930635838,experiment
gold,100.0,99.94207935128874,experiment
bronze,50.0,1.52046783625731,experiment
bronze,50.0,1.3489736070381233,experiment
silver,90.0,99.9413833528722,experiment
silver,90.0,99.94129732902849,experiment
gold,100.0,99.91268917345752,experiment
gold,100.0,99.9413661682791,experiment
gold,100.0,99.91294254207776,experiment
bronze,50.0,1.2824249489944624,experiment
gold,100.0,99.9417079568639,experiment
silver,90.0,99.94152046783626,experiment
bronze,50.0,1.4769765421372718,experiment
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,7.681564245810056,emulation
bronze,50.0,7.681564245810056,emulation
bronze,50.0,7.681564245810056,emulation
bronze,50.0,7.681564245810056,emulation
bronze,50.0,7.681564245810056,emulation
bronze,50.0,7.681564245810056,emulation
bronze,50.0,7.681564245810056,emulation
bronze,50.0,7.681564245810056,emulation
bronze,50.0,7.681564245810056,emulation
bronze,50.0,100.0,emulation
bronze,50.0,7.681564245810056,emulation
bronze,50.0,7.681564245810056,emulation
bronze,50.0,6.843575418994413,emulation
bronze,50.0,6.843575418994413,emulation
bronze,50.0,6.843575418994413,emulation
bronze,50.0,6.843575418994413,emulation
bronze,50.0,6.843575418994413,emulation
bronze,50.0,6.843575418994413,emulation
bronze,50.0,6.843575418994413,emulation
bronze,50.0,6.843575418994413,emulation
bronze,50.0,100.0,emulation
bronze,50.0,6.843575418994413,emulation
bronze,50.0,6.843575418994413,emulation
bronze,50.0,6.843575418994413,emulation
bronze,50.0,6.843575418994413,emulation
bronze,50.0,6.843575418994413,emulation
bronze,50.0,6.005586592178771,emulation
bronze,50.0,6.005586592178771,emulation
bronze,50.0,6.005586592178771,emulation
bronze,50.0,6.005586592178771,emulation
bronze,50.0,6.005586592178771,emulation
bronze,50.0,100.0,emulation
bronze,50.0,6.005586592178771,emulation
bronze,50.0,6.005586592178771,emulation
bronze,50.0,0.0,emulation
bronze,50.0,0.0,emulation
bronze,50.0,0.0,emulation
bronze,50.0,0.0,emulation
bronze,50.0,0.0,emulation
bronze,50.0,0.0,emulation
bronze,50.0,0.0,emulation
bronze,50.0,0.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,0.0,emulation
bronze,50.0,0.0,emulation
bronze,50.0,0.0,emulation
bronze,50.0,0.0,emulation
bronze,50.0,0.0,emulation
bronze,50.0,0.0,emulation
bronze,50.0,0.0,emulation
bronze,50.0,0.0,emulation
bronze,50.0,0.0,emulation
bronze,50.0,0.0,emulation
bronze,50.0,100.0,emulation
bronze,50.0,0.0,emulation
bronze,50.0,0.0,emulation
bronze,50.0,0.0,emulation
bronze,50.0,0.0,emulation
bronze,50.0,0.0,emulation
bronze,50.0,0.0,emulation
bronze,50.0,0.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,99.1150442477876,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,99.10714285714286,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
gold,100.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,99.1150442477876,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,99.10714285714286,emulation
silver,90.0,99.10714285714286,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
silver,90.0,100.0,emulation
gold,100.0,99.97054491899851,simulation
gold,100.0,99.97159090909092,simulation
gold,100.0,99.97051886792453,simulation
gold,100.0,99.9706572769953,simulation
gold,100.0,99.97058823529412,simulation
silver,90.0,99.97205923442304,simulation
silver,90.0,99.97218358831712,simulation
silver,90.0,99.971363115693,simulation
silver,90.0,99.97085397843192,simulation
silver,90.0,99.9718151071026,simulation
gold,100.0,99.97103967564436,simulation
gold,100.0,99.97165532879818,simulation
gold,100.0,99.97122302158272,simulation
gold,100.0,99.97073456248172,simulation
gold,100.0,99.97211377579475,simulation
silver,90.0,99.97055359246173,simulation
silver,90.0,99.9702469503124,simulation
silver,90.0,99.97191011235957,simulation
silver,90.0,99.9719887955182,simulation
silver,90.0,99.9715018523796,simulation
gold,100.0,99.97068308413957,simulation
gold,100.0,99.9721215500418,simulation
gold,100.0,99.9704229517894,simulation
gold,100.0,99.97182304874612,simulation
gold,100.0,99.97158283603297,simulation
silver,90.0,99.97168742921856,simulation
silver,90.0,99.97206703910616,simulation
silver,90.0,99.97079439252336,simulation
silver,90.0,99.97014925373136,simulation
bronze,50.0,99.97132205334098,simulation
gold,100.0,99.97037037037036,simulation
gold,100.0,99.97029997029996,simulation
gold,100.0,99.97157475838544,simulation
